"make","model","length","year","price","url"
"Bavaria","42 ft 2005 Bavaria 42 Cruiser","42","2005","129287","https://au.yachtworld.com/boats/2005/bavaria-42-cruiser-3513526/"
"Bavaria","40 ft 2008 Bavaria 40 Cruiser","40","2008","129287","https://au.yachtworld.com/boats/2008/bavaria-40-cruiser-3609449/"
"Bavaria","39 ft 2006 Bavaria 39 Cruiser","39","2006","129287","https://au.yachtworld.com/boats/2006/bavaria-39-cruiser-3598013/"
"Bavaria","39 ft 2009 Bavaria 40 Cruiser","39","2009","129287","https://au.yachtworld.com/boats/2009/bavaria-40-cruiser-3150104/"
"Bavaria","39 ft 2010 Bavaria Cruiser 39","39","2010","129287","https://au.yachtworld.com/boats/2010/bavaria-cruiser-39-3538992/"
"Bavaria","38 ft 2003 Bavaria 38","38","2003","129287","https://au.yachtworld.com/boats/2003/bavaria-38-3582143/"
"Bavaria","38 ft 1999 Bavaria 38 Ocean","38","1999","129287","https://au.yachtworld.com/boats/1999/bavaria-38-ocean-3651585/"
"Bavaria","42 ft 2000 Bavaria 42 Cruiser","42","2000","130000","https://au.yachtworld.com/boats/2000/bavaria-42-cruiser-3588788/"
"Bavaria","42 ft 2004 Bavaria 42 Cruiser","42","2004","130105","https://au.yachtworld.com/boats/2004/bavaria-42-cruiser-3145649/"
"Bavaria","40 ft 2008 Bavaria 40 Cruiser","40","2008","130105","https://au.yachtworld.com/boats/2008/bavaria-40-cruiser-3544718/"
"Bavaria","39 ft 2005 Bavaria 39 Cruiser","39","2005","130105","https://au.yachtworld.com/boats/2005/bavaria-39-cruiser-3580379/"
"Bavaria","46 ft 2006 Bavaria 46 Cruiser","46","2006","126237","https://au.yachtworld.com/boats/2006/bavaria-cruiser-46-3214669/"
"Bavaria","49 ft 2004 Bavaria 49 / VAT paid","49","2004","130596","https://au.yachtworld.com/boats/2004/bavaria-49-vat-paid-3584248/"
"Bavaria","45 ft 2003 Bavaria 44","45","2003","130760","https://au.yachtworld.com/boats/2003/bavaria-44-3647512/"
"Bavaria","47 ft 2008 Bavaria Cruiser 46","47","2008","130923","https://au.yachtworld.com/boats/2008/bavaria-cruiser-46-3611802/"
"Bavaria","46 ft 2001 Bavaria 47","46","2001","130923","https://au.yachtworld.com/boats/2001/bavaria-47-3496340/"
"Bavaria","46 ft 2007 Bavaria 46 Cruiser","46","2007","130923","https://au.yachtworld.com/boats/2007/bavaria-cruiser-46-3617072/"
"Bavaria","44 ft 2003 Bavaria 44","44","2003","130923","https://au.yachtworld.com/boats/2003/bavaria-44-2416263/"
"Bavaria","42 ft 2000 Bavaria 42","42","2000","130923","https://au.yachtworld.com/boats/2000/bavaria-42-2768680/"
